FID,ID_EQ_SAUDE,CATEGORIA,SIGLA_CATEGORIA,NOME,TIPO_LOGRADOURO,LOGRADOURO,NUMERO_IMOVEL,TELEFONE,NOME_BAIRRO_POPULAR,GEOMETRIA
CENTRO_SAUDE.534,534,CENTRO DE SAUDE,CS,CENTRO DE SAUDE DOM BOSCO,RUA,OLINTO MAGALHAES,1939,"32777219, 32777221",DOM BOSCO,POINT (604710.300272066 7797936.60451014)
CENTRO_SAUDE.371,371,CENTRO DE SAUDE,CS,CENTRO DE SAUDE CICERO IDELFONSO,RUA,AGUANIL,238,"32779088, 32779089",VISTA ALEGRE,POINT (604861.016610009 7793205.09668704)
CENTRO_SAUDE.233,233,CENTRO DE SAUDE,CS,CENTRO DE SAUDE FELICIDADE II,RUA,SONIA BRAZ XAVIER,60,"32777487, 32777488, 32771301",JARDIM FELICIDADE,POINT (611976.968431101 7807530.1966726)
CENTRO_SAUDE.196,196,CENTRO DE SAUDE,CS,CENTRO DE SAUDE COPACABANA,RUA,INGLATERRA,940,"32777415, 32777442",COPACABANA,POINT (606174.291120339 7806544.3411864)
CENTRO_SAUDE.285,285,CENTRO DE SAUDE,CS,CENTRO DE SAUDE VERA CRUZ,PCA,PADRE LEO VERHEYEN,36,"32775606, 32775607",VERA CRUZ,POINT (615511.316096996 7797886.76379871)
CENTRO_SAUDE.210,210,CENTRO DE SAUDE,CS,CENTRO DE SAUDE PEDREIRA PRADO LOPES,RUA,ESCRAVO ISIDORO,601,"32776008, 32776009",PEDREIRA PRADO LOPES,POINT (609858.039482588 7799040.06899534)
CENTRO_SAUDE.341,341,CENTRO DE SAUDE,CS,CENTRO DE SAUDE SAGRADA FAMILIA - MARCO ANTONIO DE MENEZES,AVE,PETROLINA,871,"32775717, 32775767",SAGRADA FAMÍLIA,POINT (613512.4174927 7798598.75467809)
CENTRO_SAUDE.174,174,CENTRO DE SAUDE,CS,CENTRO DE SAUDE AMILCAR VIANA MARTINS,RUA,NELSON DE SENNA,90,"32771544, 32771545, 32776483",CINQUENTENÁRIO,POINT (606277.85056032 7792883.47215278)
CENTRO_SAUDE.257,257,CENTRO DE SAUDE,CS,CENTRO DE SAUDE NAZARE,RUA,CRUZ DE MALTA,73,"32776730, 32776731, 32469500, 32469551",NAZARÉ,POINT (615845.239829916 7804517.25413018)
CENTRO_SAUDE.203,203,CENTRO DE SAUDE,CS,CENTRO DE SAUDE CONJUNTO SANTA MARIA,RUA,GENTIOS,821,32778822,SÃO BENTO,POINT (609423.974572668 7793479.62188471)
CENTRO_SAUDE.216,216,CENTRO DE SAUDE,CS,CENTRO DE SAUDE ALTO VERA CRUZ,RUA,GENERAL OSORIO,959,"32775601, 32779038",ALTO VERA CRUZ,POINT (616246.713496998 7798040.17252137)
CENTRO_SAUDE.154,154,CENTRO DE SAUDE,CS,CENTRO DE SAUDE HORTO,RUA,POUSO ALEGRE,2042,"32468521, 32468537, 32468534",SANTA TEREZA,POINT (613031.617598062 7797804.62041821)
CENTRO_SAUDE.158,158,CENTRO DE SAUDE,CS,CENTRO DE SAUDE TAQUARIL,RUA,DESEMBARGADOR BRAULIO,2200,"32771127, 32775604, 32775634",TAQUARIL,POINT (616399.443025048 7797174.6586942)
CENTRO_SAUDE.207,207,CENTRO DE SAUDE,CS,CENTRO DE SAUDE LISANDRA ANGELICA DAVID JUSTINO - TUNEL DE IBIRITE,RUA,WALDIR CESAR BRANQUINHO,121,"32779123, 32775964",TÚNEL DE IBIRITÉ,POINT (599750.56867293 7789562.51168899)
CENTRO_SAUDE.259,259,CENTRO DE SAUDE,CS,CENTRO DE SAUDE SAO TOMAZ,RUA,SANTA ROSA,54,"32777997, 32777347, 32771556",VILA SÃO TOMÁZ,POINT (609592.424346126 7805325.66957956)
CENTRO_SAUDE.175,175,CENTRO DE SAUDE,CS,CENTRO DE SAUDE DOM CABRAL,PCA,CHICO PEREIRA,50,"32779664, 32779665, 32776487",DOM CABRAL,POINT (604802.302762918 7796723.19320708)
CENTRO_SAUDE.515,515,CENTRO DE SAUDE,CS,CENTRO DE SAUDE JARDIM FILADELFIA,RUA,CAITITE,319,"32777142, 32778305",CONJUNTO JARDIM FILADÉLFIA,POINT (603706.532242143 7798211.72418454)
CENTRO_SAUDE.179,179,CENTRO DE SAUDE,CS,CENTRO DE SAUDE SALGADO FILHO,RUA,CAMPINA VERDE,375,"32776478, 32779603, 32776582",SALGADO FILHO,POINT (606217.301325654 7794392.14506678)
CENTRO_SAUDE.250,250,CENTRO DE SAUDE,CS,CENTRO DE SAUDE PADRE JOAQUIM MAIA,RUA,BOAVENTURA,1900,"32777433, 32777874, 32777886",VILA RICA,POINT (609458.198492677 7804148.75913627)
CENTRO_SAUDE.374,374,CENTRO DE SAUDE,CS,CENTRO DE SAUDE VILAS REUNIDAS - LEOPOLDO CRISOSTOMO DE CASTRO,RUA,LEONCIO CHAGAS,157,"32775790, 32775791, 32779007",UNIÃO,POINT (612954.551915988 7800984.65318087)
CENTRO_SAUDE.1041,1041,ANEXO DO CENTRO DE SAUDE,ANEXO CS,ANEXO DO CENTRO DE SAUDE TAQUARIL,AVE,SANTA TEREZA,612,,TAQUARIL,POINT (617003.824867066 7796876.54103304)
CENTRO_SAUDE.214,214,CENTRO DE SAUDE,CS,CENTRO DE SAUDE FLORAMAR,RUA,IGARAUNAS,15,"32776768, 32776769, 32777483",FLORAMAR,POINT (611649.544509835 7805917.26001077)
CENTRO_SAUDE.457,457,CENTRO DE SAUDE,CS,CENTRO DE SAUDE CACHOEIRINHA,RUA,BORBOREMA,1325,"32776006, 32776007, 32776218",CACHOEIRINHA,POINT (610436.790556189 7799960.43165819)
CENTRO_SAUDE.943,943,CENTRO DE SAUDE,CS,CENTRO DE SAUDE PINDORAMA ELZA MARTINS,RUA,RUTILO,10,"32779817, 32778567, 32777542",PINDORAMA,POINT (602487.475185532 7798357.49487368)
CENTRO_SAUDE.261,261,CENTRO DE SAUDE,CS,CENTRO DE SAUDE SANTA MARIA,RUA,DAS PEROLAS,123,"32779133, 32779145",SANTA MARIA,POINT (602874.473040895 7795594.67292415)
CENTRO_SAUDE.195,195,CENTRO DE SAUDE,CS,CENTRO DE SAUDE SANTO ANTONIO,RUA,IRINEU PINTO,255,"32775562, 32771867",VENDA NOVA,POINT (609035.631955885 7808350.65385278)
CENTRO_SAUDE.422,422,CENTRO DE SAUDE,CS,CENTRO DE SAUDE SANTA INES,RUA,ITUMIRIM,50,"32775710, 32779954",SANTA INÊS,POINT (614495.436347887 7800567.04818315)
CENTRO_SAUDE.180,180,CENTRO DE SAUDE,CS,CENTRO DE SAUDE VILA PINHO,RUA,OTAVIANO DE CARVALHO,174,"32775856, 32775857",VILA PINHO,POINT (601864.795455703 7788134.61505184)
CENTRO_SAUDE.322,322,CENTRO DE SAUDE,CS,CENTRO DE SAUDE MG-20,RUA,PADRE ARGEMIRO MOREIRA,11900,"32776732, 32776735, 32776739",MARIA TERESA,POINT (616846.735810848 7808454.86890751)
CENTRO_SAUDE.193,193,CENTRO DE SAUDE,CS,CENTRO DE SAUDE PAULO VI - MARIVANDA BALEEIRO,RUA,TRES MIL E SETENTA E QUATRO,555,"32777494, 32777495, 32771319",PAULO VI,POINT (616348.239269663 7805626.43789786)
CENTRO_SAUDE.297,297,CENTRO DE SAUDE,CS,CENTRO DE SAUDE JOAO VITAL,RUA,DOIS MIL QUATROCENTOS E SESSENTA E SEIS,30,"32468036, 32468037, 32777937",JARDIM VITÓRIA,POINT (617366.977461656 7805400.05201354)
CENTRO_SAUDE.213,213,CENTRO DE SAUDE,CS,CENTRO DE SAUDE TUPI,RUA,JORGE AMADO,91,"32776772, 32776773, 32778555",TUPI A,POINT (612814.526656557 7806322.40889401)
CENTRO_SAUDE.345,345,CENTRO DE SAUDE,CS,CENTRO DE SAUDE JARDIM MONTANHES,RUA,LEOPOLDO PEREIRA,407,"32777212, 32777213, 32778389",JARDIM MONTANHÊS,POINT (606586.162678546 7798813.94502222)
CENTRO_SAUDE.581,581,CENTRO DE SAUDE,CS,CENTRO DE SAUDE SANTA MONICA II - ALAMEDA DOS IPES,RUA,MINISTRO OLIVEIRA SALAZAR,1186,"32469023, 32779024",SANTA MÔNICA,POINT (607465.42891727 7808348.64098606)
CENTRO_SAUDE.501,501,CENTRO DE SAUDE,CS,CENTRO DE SAUDE BONSUCESSO,RUA,DOUTOR CRISTIANO REZENDE,1875,"32773192, 32778931, 32779069",BONSUCESSO,POINT (605782.027942803 7789622.52590894)
CENTRO_SAUDE.255,255,CENTRO DE SAUDE,CS,CENTRO DE SAUDE DOM JOAQUIM,AVE,JOAQUIM JOSE DINIZ,855,"32775701, 32775707, 32779021",FERNÃO DIAS,POINT (613473.185396087 7801938.84094053)
CENTRO_SAUDE.197,197,CENTRO DE SAUDE,CS,CENTRO DE SAUDE CAPITAO EDUARDO,RUA,DOS MENSAGEIROS,10,"32777846, 32777847, 32778016",CONJUNTO CAPITÃO EDUARDO,POINT (618570.88717026 7806860.01726754)
CENTRO_SAUDE.387,387,CENTRO DE SAUDE,CS,CENTRO DE SAUDE SAO GABRIEL - FABIO CORREA LIMA,RUA,ILHA DE MALTA,353,"32776744, 32776745, 32468010",SÃO GABRIEL,POINT (613694.055724139 7803991.66111312)
CENTRO_SAUDE.504,504,CENTRO DE SAUDE,CS,CENTRO DE SAUDE SANTA LUCIA,RUA,MURILLO MORAES DE ANDRADE,140,"32778885, 32778883",SANTO ANTÔNIO,POINT (610232.565730511 7793641.44786902)
CENTRO_SAUDE.338,338,CENTRO DE SAUDE,CS,CENTRO DE SAUDE SANTA CECILIA,RUA,PAULO DUARTE,280,"32775852, 32775853, 32779070",SANTA CECÍLIA,POINT (601187.303321735 7788269.82124805)
CENTRO_SAUDE.342,342,CENTRO DE SAUDE,CS,CENTRO DE SAUDE CONFISCO,RUA,POLYCARPO DE MAGALHAES VIOTTI,261,"32777202, 32777267, 32778501",BANDEIRANTES,POINT (604423.657922073 7803276.97994811)
CENTRO_SAUDE.452,452,CENTRO DE SAUDE,CS,CENTRO DE SAUDE AARAO REIS,RUA,WALDOMIRO LOBO,177,"32776781, 32777463",AARÃO REIS,POINT (613007.157353595 7805202.7417717)
CENTRO_SAUDE.295,295,CENTRO DE SAUDE,CS,CENTRO DE SAUDE OURO PRETO,RUA,JONAS JEAN,77,"32778560, 32777133, 32777108, 32778331",OURO PRETO,POINT (605987.473153437 7800921.33606888)
CENTRO_SAUDE.461,461,CENTRO DE SAUDE,CS,CENTRO DE SAUDE PADRE TIAGO,AVE,JOAO XXIII,1233,"32463022, 32778976, 32778942",MANACÁS,POINT (605302.424901016 7799200.72629401)
